ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
23,"AND(AND(XOR(NOT(A), C), D), E)","[0, 0, 0, 1, 0]",AND -> AND -> XOR -> NOT,7.5,11,4,0
24,"AND(AND(XOR(BUFFER(A), C), D), E)","[1, 0, 1, 0, 0]",AND -> AND -> XOR -> BUFFER,6.7,10,4,0
25,"AND(AND(NAND(AND(A, B), C), D), E)","[0, 1, 1, 0, 1]",AND -> AND -> NAND -> AND,7.5,11.5,4,0
26,"AND(AND(NAND(OR(A, B), C), D), E)","[1, 0, 0, 0, 0]",AND -> AND -> NAND -> OR,7.5,11.5,4,0
27,"AND(AND(NAND(XOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> AND -> NAND -> XOR,8,12,4,0
28,"AND(AND(NAND(NAND(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> AND -> NAND -> NAND,7,11,4,0
29,"AND(AND(NAND(NOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> AND -> NAND -> NOR,7,11,4,0
30,"AND(AND(NAND(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",AND -> AND -> NAND -> XNOR,8,12,4,1
31,"AND(AND(NAND(NOT(A), C), D), E)","[0, 0, 0, 0, 1]",AND -> AND -> NAND -> NOT,6.5,10,4,0
32,"AND(AND(NAND(BUFFER(A), C), D), E)","[0, 1, 0, 0, 0]",AND -> AND -> NAND -> BUFFER,5.7,9,4,0
33,"AND(AND(NOR(AND(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> AND -> NOR -> AND,7.5,11.5,4,0
34,"AND(AND(NOR(OR(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> AND -> NOR -> OR,7.5,11.5,4,0
35,"AND(AND(NOR(XOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",AND -> AND -> NOR -> XOR,8,12,4,0
36,"AND(AND(NOR(NAND(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> AND -> NOR -> NAND,7,11,4,0
37,"AND(AND(NOR(NOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> AND -> NOR -> NOR,7,11,4,1
38,"AND(AND(NOR(XNOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> AND -> NOR -> XNOR,8,12,4,0
39,"AND(AND(NOR(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",AND -> AND -> NOR -> NOT,6.5,10,4,0
40,"AND(AND(NOR(BUFFER(A), C), D), E)","[0, 1, 1, 1, 0]",AND -> AND -> NOR -> BUFFER,5.7,9,4,0
41,"AND(AND(XNOR(AND(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> AND -> XNOR -> AND,8.5,12.5,4,0
42,"AND(AND(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> AND -> XNOR -> OR,8.5,12.5,4,0
43,"AND(AND(XNOR(XOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> AND -> XNOR -> XOR,9,13,4,0
44,"AND(AND(XNOR(NAND(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> AND -> XNOR -> NAND,8,12,4,0
45,"AND(AND(XNOR(NOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> AND -> XNOR -> NOR,8,12,4,0
46,"AND(AND(XNOR(XNOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> AND -> XNOR -> XNOR,9,13,4,0
47,"AND(AND(XNOR(NOT(A), C), D), E)","[0, 0, 0, 1, 0]",AND -> AND -> XNOR -> NOT,7.5,11,4,0
48,"AND(AND(XNOR(BUFFER(A), C), D), E)","[0, 0, 0, 1, 1]",AND -> AND -> XNOR -> BUFFER,6.7,10,4,1
49,"AND(AND(NOT(AND(A, B)), D), E)","[1, 0, 0, 1, 0]",AND -> AND -> NOT -> AND,7,10.5,4,0
50,"AND(AND(NOT(OR(A, B)), D), E)","[0, 1, 1, 0, 0]",AND -> AND -> NOT -> OR,7,10.5,4,0
51,"AND(AND(NOT(XOR(A, B)), D), E)","[0, 0, 1, 1, 1]",AND -> AND -> NOT -> XOR,7.5,11,4,1
52,"AND(AND(NOT(NAND(A, B)), D), E)","[1, 1, 0, 1, 0]",AND -> AND -> NOT -> NAND,6.5,10,4,0
53,"AND(AND(NOT(NOR(A, B)), D), E)","[1, 0, 0, 1, 1]",AND -> AND -> NOT -> NOR,6.5,10,4,1
54,"AND(AND(NOT(XNOR(A, B)), D), E)","[1, 1, 0, 0, 0]",AND -> AND -> NOT -> XNOR,7.5,11,4,0
55,"AND(AND(BUFFER(AND(A, B)), D), E)","[1, 1, 0, 0, 0]",AND -> AND -> BUFFER -> AND,6.2,9.5,4,0
56,"AND(AND(BUFFER(OR(A, B)), D), E)","[0, 1, 1, 1, 0]",AND -> AND -> BUFFER -> OR,6.2,9.5,4,0
57,"AND(AND(BUFFER(XOR(A, B)), D), E)","[1, 1, 1, 1, 1]",AND -> AND -> BUFFER -> XOR,6.7,10,4,0
58,"AND(AND(BUFFER(NAND(A, B)), D), E)","[0, 1, 0, 0, 1]",AND -> AND -> BUFFER -> NAND,5.7,9,4,0
59,"AND(AND(BUFFER(NOR(A, B)), D), E)","[1, 1, 0, 1, 0]",AND -> AND -> BUFFER -> NOR,5.7,9,4,0
60,"AND(AND(BUFFER(XNOR(A, B)), D), E)","[1, 0, 0, 0, 0]",AND -> AND -> BUFFER -> XNOR,6.7,10,4,0
61,"AND(OR(AND(AND(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> OR -> AND -> AND,8,12,4,1
62,"AND(OR(AND(OR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> OR -> AND -> OR,8,12,4,0
63,"AND(OR(AND(XOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> OR -> AND -> XOR,8.5,12.5,4,1
64,"AND(OR(AND(NAND(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> OR -> AND -> NAND,7.5,11.5,4,0
65,"AND(OR(AND(NOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> OR -> AND -> NOR,7.5,11.5,4,0
66,"AND(OR(AND(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> OR -> AND -> XNOR,8.5,12.5,4,1
67,"AND(OR(AND(NOT(A), C), D), E)","[1, 0, 1, 1, 0]",AND -> OR -> AND -> NOT,7,10.5,4,0
68,"AND(OR(AND(BUFFER(A), C), D), E)","[0, 0, 0, 1, 1]",AND -> OR -> AND -> BUFFER,6.2,9.5,4,1
69,"AND(OR(OR(AND(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> OR -> OR -> AND,8,12,4,0
70,"AND(OR(OR(OR(A, B), C), D), E)","[0, 1, 1, 0, 0]",AND -> OR -> OR -> OR,8,12,4,0
71,"AND(OR(OR(XOR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> OR -> OR -> XOR,8.5,12.5,4,0
72,"AND(OR(OR(NAND(A, B), C), D), E)","[1, 1, 0, 0, 1]",AND -> OR -> OR -> NAND,7.5,11.5,4,0
73,"AND(OR(OR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> OR -> OR -> NOR,7.5,11.5,4,0
74,"AND(OR(OR(XNOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",AND -> OR -> OR -> XNOR,8.5,12.5,4,1
75,"AND(OR(OR(NOT(A), C), D), E)","[1, 0, 1, 0, 0]",AND -> OR -> OR -> NOT,7,10.5,4,0
76,"AND(OR(OR(BUFFER(A), C), D), E)","[1, 1, 1, 1, 0]",AND -> OR -> OR -> BUFFER,6.2,9.5,4,0
77,"AND(OR(XOR(AND(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> OR -> XOR -> AND,8.5,12.5,4,0
78,"AND(OR(XOR(OR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> OR -> XOR -> OR,8.5,12.5,4,0
79,"AND(OR(XOR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> OR -> XOR -> XOR,9,13,4,0
80,"AND(OR(XOR(NAND(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> OR -> XOR -> NAND,8,12,4,0
81,"AND(OR(XOR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> OR -> XOR -> NOR,8,12,4,0
82,"AND(OR(XOR(XNOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> OR -> XOR -> XNOR,9,13,4,0
83,"AND(OR(XOR(NOT(A), C), D), E)","[1, 1, 1, 0, 0]",AND -> OR -> XOR -> NOT,7.5,11,4,0
84,"AND(OR(XOR(BUFFER(A), C), D), E)","[0, 1, 1, 0, 0]",AND -> OR -> XOR -> BUFFER,6.7,10,4,0
85,"AND(OR(NAND(AND(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> OR -> NAND -> AND,7.5,11.5,4,0
86,"AND(OR(NAND(OR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> OR -> NAND -> OR,7.5,11.5,4,0
87,"AND(OR(NAND(XOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> OR -> NAND -> XOR,8,12,4,1
88,"AND(OR(NAND(NAND(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> OR -> NAND -> NAND,7,11,4,0
89,"AND(OR(NAND(NOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",AND -> OR -> NAND -> NOR,7,11,4,0
90,"AND(OR(NAND(XNOR(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> OR -> NAND -> XNOR,8,12,4,0
91,"AND(OR(NAND(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",AND -> OR -> NAND -> NOT,6.5,10,4,0
92,"AND(OR(NAND(BUFFER(A), C), D), E)","[0, 0, 0, 0, 0]",AND -> OR -> NAND -> BUFFER,5.7,9,4,0
93,"AND(OR(NOR(AND(A, B), C), D), E)","[0, 1, 0, 0, 1]",AND -> OR -> NOR -> AND,7.5,11.5,4,1
94,"AND(OR(NOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 1]",AND -> OR -> NOR -> OR,7.5,11.5,4,0
95,"AND(OR(NOR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> OR -> NOR -> XOR,8,12,4,0
96,"AND(OR(NOR(NAND(A, B), C), D), E)","[1, 0, 1, 1, 0]",AND -> OR -> NOR -> NAND,7,11,4,0
97,"AND(OR(NOR(NOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> OR -> NOR -> NOR,7,11,4,0
98,"AND(OR(NOR(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 0]",AND -> OR -> NOR -> XNOR,8,12,4,0
99,"AND(OR(NOR(NOT(A), C), D), E)","[0, 0, 1, 0, 0]",AND -> OR -> NOR -> NOT,6.5,10,4,0
100,"AND(OR(NOR(BUFFER(A), C), D), E)","[1, 0, 0, 1, 1]",AND -> OR -> NOR -> BUFFER,5.7,9,4,1
101,"AND(OR(XNOR(AND(A, B), C), D), E)","[1, 0, 0, 1, 0]",AND -> OR -> XNOR -> AND,8.5,12.5,4,0
102,"AND(OR(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> OR -> XNOR -> OR,8.5,12.5,4,0
103,"AND(OR(XNOR(XOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> OR -> XNOR -> XOR,9,13,4,0
104,"AND(OR(XNOR(NAND(A, B), C), D), E)","[1, 0, 0, 0, 0]",AND -> OR -> XNOR -> NAND,8,12,4,0
105,"AND(OR(XNOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",AND -> OR -> XNOR -> NOR,8,12,4,0
106,"AND(OR(XNOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> OR -> XNOR -> XNOR,9,13,4,0
107,"AND(OR(XNOR(NOT(A), C), D), E)","[0, 0, 1, 0, 0]",AND -> OR -> XNOR -> NOT,7.5,11,4,0
108,"AND(OR(XNOR(BUFFER(A), C), D), E)","[0, 0, 1, 0, 0]",AND -> OR -> XNOR -> BUFFER,6.7,10,4,0
109,"AND(OR(NOT(AND(A, B)), D), E)","[1, 0, 1, 1, 1]",AND -> OR -> NOT -> AND,7,10.5,4,1
110,"AND(OR(NOT(OR(A, B)), D), E)","[0, 1, 1, 0, 1]",AND -> OR -> NOT -> OR,7,10.5,4,0
111,"AND(OR(NOT(XOR(A, B)), D), E)","[0, 0, 0, 0, 0]",AND -> OR -> NOT -> XOR,7.5,11,4,0
112,"AND(OR(NOT(NAND(A, B)), D), E)","[1, 0, 0, 0, 0]",AND -> OR -> NOT -> NAND,6.5,10,4,0
113,"AND(OR(NOT(NOR(A, B)), D), E)","[0, 1, 1, 0, 0]",AND -> OR -> NOT -> NOR,6.5,10,4,0
114,"AND(OR(NOT(XNOR(A, B)), D), E)","[1, 0, 0, 0, 0]",AND -> OR -> NOT -> XNOR,7.5,11,4,0
115,"AND(OR(BUFFER(AND(A, B)), D), E)","[1, 0, 0, 1, 0]",AND -> OR -> BUFFER -> AND,6.2,9.5,4,0
116,"AND(OR(BUFFER(OR(A, B)), D), E)","[0, 1, 0, 0, 1]",AND -> OR -> BUFFER -> OR,6.2,9.5,4,1
117,"AND(OR(BUFFER(XOR(A, B)), D), E)","[0, 1, 0, 1, 0]",AND -> OR -> BUFFER -> XOR,6.7,10,4,0
118,"AND(OR(BUFFER(NAND(A, B)), D), E)","[0, 1, 1, 1, 0]",AND -> OR -> BUFFER -> NAND,5.7,9,4,0
119,"AND(OR(BUFFER(NOR(A, B)), D), E)","[1, 1, 0, 0, 1]",AND -> OR -> BUFFER -> NOR,5.7,9,4,0
120,"AND(OR(BUFFER(XNOR(A, B)), D), E)","[0, 0, 1, 0, 1]",AND -> OR -> BUFFER -> XNOR,6.7,10,4,1
121,"AND(XOR(AND(AND(A, B), C), D), E)","[0, 0, 1, 1, 1]",AND -> XOR -> AND -> AND,8.5,12.5,4,1
122,"AND(XOR(AND(OR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> XOR -> AND -> OR,8.5,12.5,4,0
123,"AND(XOR(AND(XOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",AND -> XOR -> AND -> XOR,9,13,4,0
124,"AND(XOR(AND(NAND(A, B), C), D), E)","[0, 0, 0, 1, 1]",AND -> XOR -> AND -> NAND,8,12,4,1
125,"AND(XOR(AND(NOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",AND -> XOR -> AND -> NOR,8,12,4,0
126,"AND(XOR(AND(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> AND -> XNOR,9,13,4,0
127,"AND(XOR(AND(NOT(A), C), D), E)","[1, 0, 1, 0, 1]",AND -> XOR -> AND -> NOT,7.5,11,4,0
128,"AND(XOR(AND(BUFFER(A), C), D), E)","[0, 1, 1, 1, 0]",AND -> XOR -> AND -> BUFFER,6.7,10,4,0
129,"AND(XOR(OR(AND(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> XOR -> OR -> AND,8.5,12.5,4,0
130,"AND(XOR(OR(OR(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XOR -> OR -> OR,8.5,12.5,4,0
131,"AND(XOR(OR(XOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XOR -> OR -> XOR,9,13,4,0
132,"AND(XOR(OR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 0]",AND -> XOR -> OR -> NAND,8,12,4,0
133,"AND(XOR(OR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 1]",AND -> XOR -> OR -> NOR,8,12,4,0
134,"AND(XOR(OR(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> OR -> XNOR,9,13,4,0
135,"AND(XOR(OR(NOT(A), C), D), E)","[0, 0, 1, 1, 1]",AND -> XOR -> OR -> NOT,7.5,11,4,0
136,"AND(XOR(OR(BUFFER(A), C), D), E)","[1, 1, 1, 0, 1]",AND -> XOR -> OR -> BUFFER,6.7,10,4,1
137,"AND(XOR(XOR(AND(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> XOR -> XOR -> AND,9,13,4,0
138,"AND(XOR(XOR(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> XOR -> XOR -> OR,9,13,4,0
139,"AND(XOR(XOR(XOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> XOR -> XOR -> XOR,9.5,13.5,4,0
140,"AND(XOR(XOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 0]",AND -> XOR -> XOR -> NAND,8.5,12.5,4,0
141,"AND(XOR(XOR(NOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> XOR -> NOR,8.5,12.5,4,0
142,"AND(XOR(XOR(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> XOR -> XNOR,9.5,13.5,4,0
143,"AND(XOR(XOR(NOT(A), C), D), E)","[0, 0, 0, 1, 1]",AND -> XOR -> XOR -> NOT,8,11.5,4,0
144,"AND(XOR(XOR(BUFFER(A), C), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> XOR -> BUFFER,7.2,10.5,4,0
145,"AND(XOR(NAND(AND(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XOR -> NAND -> AND,8,12,4,1
146,"AND(XOR(NAND(OR(A, B), C), D), E)","[1, 1, 0, 0, 1]",AND -> XOR -> NAND -> OR,8,12,4,1
147,"AND(XOR(NAND(XOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",AND -> XOR -> NAND -> XOR,8.5,12.5,4,1
148,"AND(XOR(NAND(NAND(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> XOR -> NAND -> NAND,7.5,11.5,4,0
149,"AND(XOR(NAND(NOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",AND -> XOR -> NAND -> NOR,7.5,11.5,4,0
150,"AND(XOR(NAND(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> XOR -> NAND -> XNOR,8.5,12.5,4,1
151,"AND(XOR(NAND(NOT(A), C), D), E)","[1, 0, 1, 0, 1]",AND -> XOR -> NAND -> NOT,7,10.5,4,1
152,"AND(XOR(NAND(BUFFER(A), C), D), E)","[1, 1, 1, 0, 1]",AND -> XOR -> NAND -> BUFFER,6.2,9.5,4,0
153,"AND(XOR(NOR(AND(A, B), C), D), E)","[1, 0, 0, 0, 1]",AND -> XOR -> NOR -> AND,8,12,4,1
154,"AND(XOR(NOR(OR(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> NOR -> OR,8,12,4,1
155,"AND(XOR(NOR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",AND -> XOR -> NOR -> XOR,8.5,12.5,4,0
156,"AND(XOR(NOR(NAND(A, B), C), D), E)","[0, 0, 0, 1, 1]",AND -> XOR -> NOR -> NAND,7.5,11.5,4,1
157,"AND(XOR(NOR(NOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> XOR -> NOR -> NOR,7.5,11.5,4,0
158,"AND(XOR(NOR(XNOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> NOR -> XNOR,8.5,12.5,4,1
159,"AND(XOR(NOR(NOT(A), C), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> NOR -> NOT,7,10.5,4,0
160,"AND(XOR(NOR(BUFFER(A), C), D), E)","[0, 1, 1, 0, 0]",AND -> XOR -> NOR -> BUFFER,6.2,9.5,4,0
161,"AND(XOR(XNOR(AND(A, B), C), D), E)","[0, 1, 1, 0, 1]",AND -> XOR -> XNOR -> AND,9,13,4,0
162,"AND(XOR(XNOR(OR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> XNOR -> OR,9,13,4,0
163,"AND(XOR(XNOR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",AND -> XOR -> XNOR -> XOR,9.5,13.5,4,0
164,"AND(XOR(XNOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> XOR -> XNOR -> NAND,8.5,12.5,4,1
165,"AND(XOR(XNOR(NOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> XNOR -> NOR,8.5,12.5,4,0
166,"AND(XOR(XNOR(XNOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> XOR -> XNOR -> XNOR,9.5,13.5,4,0
167,"AND(XOR(XNOR(NOT(A), C), D), E)","[0, 1, 1, 1, 1]",AND -> XOR -> XNOR -> NOT,8,11.5,4,0
168,"AND(XOR(XNOR(BUFFER(A), C), D), E)","[1, 1, 1, 0, 0]",AND -> XOR -> XNOR -> BUFFER,7.2,10.5,4,0
169,"AND(XOR(NOT(AND(A, B)), D), E)","[0, 0, 1, 0, 1]",AND -> XOR -> NOT -> AND,7.5,11,4,1
170,"AND(XOR(NOT(OR(A, B)), D), E)","[0, 1, 1, 1, 1]",AND -> XOR -> NOT -> OR,7.5,11,4,1
171,"AND(XOR(NOT(XOR(A, B)), D), E)","[0, 1, 0, 1, 0]",AND -> XOR -> NOT -> XOR,8,11.5,4,0
172,"AND(XOR(NOT(NAND(A, B)), D), E)","[1, 0, 0, 0, 0]",AND -> XOR -> NOT -> NAND,7,10.5,4,0
173,"AND(XOR(NOT(NOR(A, B)), D), E)","[0, 0, 0, 0, 1]",AND -> XOR -> NOT -> NOR,7,10.5,4,0
174,"AND(XOR(NOT(XNOR(A, B)), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> NOT -> XNOR,8,11.5,4,1
175,"AND(XOR(BUFFER(AND(A, B)), D), E)","[1, 1, 1, 0, 0]",AND -> XOR -> BUFFER -> AND,6.7,10,4,0
176,"AND(XOR(BUFFER(OR(A, B)), D), E)","[1, 0, 0, 1, 0]",AND -> XOR -> BUFFER -> OR,6.7,10,4,0
177,"AND(XOR(BUFFER(XOR(A, B)), D), E)","[1, 0, 0, 1, 0]",AND -> XOR -> BUFFER -> XOR,7.2,10.5,4,0
178,"AND(XOR(BUFFER(NAND(A, B)), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> BUFFER -> NAND,6.2,9.5,4,1
179,"AND(XOR(BUFFER(NOR(A, B)), D), E)","[0, 1, 0, 1, 1]",AND -> XOR -> BUFFER -> NOR,6.2,9.5,4,1
180,"AND(XOR(BUFFER(XNOR(A, B)), D), E)","[1, 1, 0, 1, 1]",AND -> XOR -> BUFFER -> XNOR,7.2,10.5,4,0
181,"AND(NAND(AND(AND(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> NAND -> AND -> AND,7.5,11.5,4,1
182,"AND(NAND(AND(OR(A, B), C), D), E)","[0, 1, 1, 0, 0]",AND -> NAND -> AND -> OR,7.5,11.5,4,0
183,"AND(NAND(AND(XOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",AND -> NAND -> AND -> XOR,8,12,4,0
184,"AND(NAND(AND(NAND(A, B), C), D), E)","[1, 1, 1, 1, 0]",AND -> NAND -> AND -> NAND,7,11,4,0
185,"AND(NAND(AND(NOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",AND -> NAND -> AND -> NOR,7,11,4,0
186,"AND(NAND(AND(XNOR(A, B), C), D), E)","[0, 0, 1, 0, 0]",AND -> NAND -> AND -> XNOR,8,12,4,0
187,"AND(NAND(AND(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",AND -> NAND -> AND -> NOT,6.5,10,4,1
188,"AND(NAND(AND(BUFFER(A), C), D), E)","[0, 0, 1, 0, 0]",AND -> NAND -> AND -> BUFFER,5.7,9,4,0
189,"AND(NAND(OR(AND(A, B), C), D), E)","[1, 0, 1, 0, 1]",AND -> NAND -> OR -> AND,7.5,11.5,4,1
190,"AND(NAND(OR(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",AND -> NAND -> OR -> OR,7.5,11.5,4,0
191,"AND(NAND(OR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",AND -> NAND -> OR -> XOR,8,12,4,1
192,"AND(NAND(OR(NAND(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> NAND -> OR -> NAND,7,11,4,1
193,"AND(NAND(OR(NOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",AND -> NAND -> OR -> NOR,7,11,4,0
194,"AND(NAND(OR(XNOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",AND -> NAND -> OR -> XNOR,8,12,4,1
