ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
30,"AND(BUFFER(NOR(A, D)), C)","[1, 1, 1, 1]",AND -> BUFFER -> NOR,3.7,6,3,1
31,"AND(BUFFER(XOR(A, D)), C)","[1, 0, 0, 0]",AND -> BUFFER -> XOR,4.7,7,3,0
32,"AND(BUFFER(XNOR(A, D)), C)","[0, 1, 0, 0]",AND -> BUFFER -> XNOR,4.7,7,3,0
33,"AND(NAND(B, AND(A, D)), C)","[0, 1, 1, 1]",AND -> NAND -> AND,5.5,8.5,3,1
34,"AND(NAND(B, OR(A, D)), C)","[1, 1, 0, 1]",AND -> NAND -> OR,5.5,8.5,3,0
35,"AND(NAND(B, NOT(A)), C)","[0, 0, 1, 1]",AND -> NAND -> NOT,4.5,7,3,1
36,"AND(NAND(B, BUFFER(A)), C)","[1, 1, 0, 1]",AND -> NAND -> BUFFER,3.7,6,3,0
37,"AND(NAND(B, NAND(A, D)), C)","[1, 0, 1, 0]",AND -> NAND -> NAND,5,8,3,1
38,"AND(NAND(B, NOR(A, D)), C)","[0, 1, 1, 1]",AND -> NAND -> NOR,5,8,3,1
39,"AND(NAND(B, XOR(A, D)), C)","[0, 1, 0, 0]",AND -> NAND -> XOR,6,9,3,0
40,"AND(NAND(B, XNOR(A, D)), C)","[1, 0, 1, 0]",AND -> NAND -> XNOR,6,9,3,1
41,"AND(NOR(B, AND(A, D)), C)","[0, 1, 1, 1]",AND -> NOR -> AND,5.5,8.5,3,0
42,"AND(NOR(B, OR(A, D)), C)","[0, 1, 0, 0]",AND -> NOR -> OR,5.5,8.5,3,0
43,"AND(NOR(B, NOT(A)), C)","[1, 1, 1, 1]",AND -> NOR -> NOT,4.5,7,3,0
44,"AND(NOR(B, BUFFER(A)), C)","[1, 0, 1, 0]",AND -> NOR -> BUFFER,3.7,6,3,0
45,"AND(NOR(B, NAND(A, D)), C)","[0, 0, 0, 1]",AND -> NOR -> NAND,5,8,3,0
46,"AND(NOR(B, NOR(A, D)), C)","[1, 1, 1, 1]",AND -> NOR -> NOR,5,8,3,0
47,"AND(NOR(B, XOR(A, D)), C)","[1, 1, 1, 1]",AND -> NOR -> XOR,6,9,3,0
48,"AND(NOR(B, XNOR(A, D)), C)","[1, 1, 1, 0]",AND -> NOR -> XNOR,6,9,3,0
49,"AND(XOR(B, AND(A, D)), C)","[0, 0, 0, 1]",AND -> XOR -> AND,6.5,9.5,3,0
50,"AND(XOR(B, OR(A, D)), C)","[1, 1, 0, 0]",AND -> XOR -> OR,6.5,9.5,3,0
51,"AND(XOR(B, NOT(A)), C)","[0, 1, 0, 1]",AND -> XOR -> NOT,5.5,8,3,0
52,"AND(XOR(B, BUFFER(A)), C)","[0, 0, 1, 1]",AND -> XOR -> BUFFER,4.7,7,3,0
53,"AND(XOR(B, NAND(A, D)), C)","[1, 0, 0, 0]",AND -> XOR -> NAND,6,9,3,0
54,"AND(XOR(B, NOR(A, D)), C)","[1, 1, 1, 1]",AND -> XOR -> NOR,6,9,3,1
55,"AND(XOR(B, XOR(A, D)), C)","[1, 1, 1, 1]",AND -> XOR -> XOR,7,10,3,1
56,"AND(XOR(B, XNOR(A, D)), C)","[1, 1, 1, 1]",AND -> XOR -> XNOR,7,10,3,0
57,"AND(XNOR(B, AND(A, D)), C)","[1, 0, 1, 1]",AND -> XNOR -> AND,6.5,9.5,3,0
58,"AND(XNOR(B, OR(A, D)), C)","[1, 1, 1, 1]",AND -> XNOR -> OR,6.5,9.5,3,1
59,"AND(XNOR(B, NOT(A)), C)","[1, 1, 1, 0]",AND -> XNOR -> NOT,5.5,8,3,0
60,"AND(XNOR(B, BUFFER(A)), C)","[0, 1, 0, 1]",AND -> XNOR -> BUFFER,4.7,7,3,0
61,"AND(XNOR(B, NAND(A, D)), C)","[1, 1, 0, 0]",AND -> XNOR -> NAND,6,9,3,0
62,"AND(XNOR(B, NOR(A, D)), C)","[0, 0, 0, 1]",AND -> XNOR -> NOR,6,9,3,0
63,"AND(XNOR(B, XOR(A, D)), C)","[1, 1, 0, 0]",AND -> XNOR -> XOR,7,10,3,0
64,"AND(XNOR(B, XNOR(A, D)), C)","[1, 0, 0, 1]",AND -> XNOR -> XNOR,7,10,3,0
65,"OR(AND(B, AND(A, D)), C)","[0, 0, 1, 1]",OR -> AND -> AND,6,9,3,1
66,"OR(AND(B, OR(A, D)), C)","[1, 1, 0, 0]",OR -> AND -> OR,6,9,3,1
67,"OR(AND(B, NOT(A)), C)","[0, 1, 0, 0]",OR -> AND -> NOT,5,7.5,3,1
68,"OR(AND(B, BUFFER(A)), C)","[0, 1, 1, 1]",OR -> AND -> BUFFER,4.2,6.5,3,1
69,"OR(AND(B, NAND(A, D)), C)","[1, 1, 0, 1]",OR -> AND -> NAND,5.5,8.5,3,0
70,"OR(AND(B, NOR(A, D)), C)","[0, 1, 0, 1]",OR -> AND -> NOR,5.5,8.5,3,0
71,"OR(AND(B, XOR(A, D)), C)","[1, 0, 0, 0]",OR -> AND -> XOR,6.5,9.5,3,0
72,"OR(AND(B, XNOR(A, D)), C)","[1, 1, 0, 1]",OR -> AND -> XNOR,6.5,9.5,3,1
73,"OR(OR(B, AND(A, D)), C)","[0, 0, 0, 1]",OR -> OR -> AND,6,9,3,0
74,"OR(OR(B, OR(A, D)), C)","[0, 0, 0, 0]",OR -> OR -> OR,6,9,3,0
75,"OR(OR(B, NOT(A)), C)","[0, 1, 1, 1]",OR -> OR -> NOT,5,7.5,3,1
76,"OR(OR(B, BUFFER(A)), C)","[0, 0, 0, 1]",OR -> OR -> BUFFER,4.2,6.5,3,0
77,"OR(OR(B, NAND(A, D)), C)","[0, 0, 1, 1]",OR -> OR -> NAND,5.5,8.5,3,1
78,"OR(OR(B, NOR(A, D)), C)","[0, 0, 1, 0]",OR -> OR -> NOR,5.5,8.5,3,1
79,"OR(OR(B, XOR(A, D)), C)","[0, 0, 1, 0]",OR -> OR -> XOR,6.5,9.5,3,1
80,"OR(OR(B, XNOR(A, D)), C)","[0, 0, 0, 1]",OR -> OR -> XNOR,6.5,9.5,3,0
81,"OR(NOT(AND(A, D)), C)","[1, 0, 0, 0]",OR -> NOT -> AND,5,7.5,3,1
82,"OR(NOT(OR(A, D)), C)","[1, 0, 1, 1]",OR -> NOT -> OR,5,7.5,3,1
83,"OR(NOT(NOT(A)), C)","[0, 0, 0, 0]",OR -> NOT -> NOT,4,6,3,1
84,"OR(NOT(BUFFER(A)), C)","[0, 1, 0, 0]",OR -> NOT -> BUFFER,3.2,5,3,0
85,"OR(NOT(NAND(A, D)), C)","[1, 0, 0, 1]",OR -> NOT -> NAND,4.5,7,3,1
86,"OR(NOT(NOR(A, D)), C)","[1, 0, 1, 1]",OR -> NOT -> NOR,4.5,7,3,1
87,"OR(NOT(XOR(A, D)), C)","[1, 1, 1, 1]",OR -> NOT -> XOR,5.5,8,3,1
88,"OR(NOT(XNOR(A, D)), C)","[1, 0, 0, 1]",OR -> NOT -> XNOR,5.5,8,3,1
89,"OR(BUFFER(AND(A, D)), C)","[1, 1, 0, 1]",OR -> BUFFER -> AND,4.2,6.5,3,1
90,"OR(BUFFER(OR(A, D)), C)","[1, 0, 1, 0]",OR -> BUFFER -> OR,4.2,6.5,3,1
91,"OR(BUFFER(NOT(A)), C)","[1, 1, 1, 1]",OR -> BUFFER -> NOT,3.2,5,3,1
92,"OR(BUFFER(BUFFER(A)), C)","[1, 0, 0, 0]",OR -> BUFFER -> BUFFER,2.4,4,3,0
93,"OR(BUFFER(NAND(A, D)), C)","[0, 1, 0, 1]",OR -> BUFFER -> NAND,3.7,6,3,1
94,"OR(BUFFER(NOR(A, D)), C)","[1, 1, 0, 1]",OR -> BUFFER -> NOR,3.7,6,3,1
95,"OR(BUFFER(XOR(A, D)), C)","[0, 0, 1, 0]",OR -> BUFFER -> XOR,4.7,7,3,1
96,"OR(BUFFER(XNOR(A, D)), C)","[0, 1, 0, 1]",OR -> BUFFER -> XNOR,4.7,7,3,1
97,"OR(NAND(B, AND(A, D)), C)","[0, 1, 1, 0]",OR -> NAND -> AND,5.5,8.5,3,1
98,"OR(NAND(B, OR(A, D)), C)","[0, 0, 1, 0]",OR -> NAND -> OR,5.5,8.5,3,1
99,"OR(NAND(B, NOT(A)), C)","[1, 0, 1, 1]",OR -> NAND -> NOT,4.5,7,3,1
100,"OR(NAND(B, BUFFER(A)), C)","[0, 0, 1, 1]",OR -> NAND -> BUFFER,3.7,6,3,1
101,"OR(NAND(B, NAND(A, D)), C)","[1, 0, 0, 1]",OR -> NAND -> NAND,5,8,3,1
102,"OR(NAND(B, NOR(A, D)), C)","[1, 1, 0, 1]",OR -> NAND -> NOR,5,8,3,1
103,"OR(NAND(B, XOR(A, D)), C)","[1, 1, 0, 1]",OR -> NAND -> XOR,6,9,3,1
104,"OR(NAND(B, XNOR(A, D)), C)","[0, 0, 1, 1]",OR -> NAND -> XNOR,6,9,3,1
105,"OR(NOR(B, AND(A, D)), C)","[1, 0, 1, 1]",OR -> NOR -> AND,5.5,8.5,3,1
106,"OR(NOR(B, OR(A, D)), C)","[0, 0, 1, 0]",OR -> NOR -> OR,5.5,8.5,3,1
107,"OR(NOR(B, NOT(A)), C)","[0, 0, 0, 1]",OR -> NOR -> NOT,4.5,7,3,0
108,"OR(NOR(B, BUFFER(A)), C)","[1, 1, 0, 0]",OR -> NOR -> BUFFER,3.7,6,3,0
109,"OR(NOR(B, NAND(A, D)), C)","[1, 1, 1, 1]",OR -> NOR -> NAND,5,8,3,1
110,"OR(NOR(B, NOR(A, D)), C)","[0, 1, 1, 0]",OR -> NOR -> NOR,5,8,3,1
111,"OR(NOR(B, XOR(A, D)), C)","[1, 1, 0, 1]",OR -> NOR -> XOR,6,9,3,0
112,"OR(NOR(B, XNOR(A, D)), C)","[1, 1, 1, 1]",OR -> NOR -> XNOR,6,9,3,1
113,"OR(XOR(B, AND(A, D)), C)","[1, 1, 1, 1]",OR -> XOR -> AND,6.5,9.5,3,1
114,"OR(XOR(B, OR(A, D)), C)","[1, 0, 1, 0]",OR -> XOR -> OR,6.5,9.5,3,1
115,"OR(XOR(B, NOT(A)), C)","[0, 1, 0, 1]",OR -> XOR -> NOT,5.5,8,3,0
116,"OR(XOR(B, BUFFER(A)), C)","[1, 0, 1, 0]",OR -> XOR -> BUFFER,4.7,7,3,1
117,"OR(XOR(B, NAND(A, D)), C)","[1, 1, 1, 1]",OR -> XOR -> NAND,6,9,3,1
118,"OR(XOR(B, NOR(A, D)), C)","[1, 1, 0, 1]",OR -> XOR -> NOR,6,9,3,1
119,"OR(XOR(B, XOR(A, D)), C)","[0, 1, 0, 1]",OR -> XOR -> XOR,7,10,3,0
120,"OR(XOR(B, XNOR(A, D)), C)","[1, 0, 1, 1]",OR -> XOR -> XNOR,7,10,3,1
121,"OR(XNOR(B, AND(A, D)), C)","[1, 1, 0, 0]",OR -> XNOR -> AND,6.5,9.5,3,0
122,"OR(XNOR(B, OR(A, D)), C)","[0, 1, 0, 1]",OR -> XNOR -> OR,6.5,9.5,3,1
123,"OR(XNOR(B, NOT(A)), C)","[0, 0, 1, 0]",OR -> XNOR -> NOT,5.5,8,3,1
124,"OR(XNOR(B, BUFFER(A)), C)","[0, 1, 1, 1]",OR -> XNOR -> BUFFER,4.7,7,3,1
125,"OR(XNOR(B, NAND(A, D)), C)","[0, 0, 0, 1]",OR -> XNOR -> NAND,6,9,3,0
126,"OR(XNOR(B, NOR(A, D)), C)","[1, 1, 1, 1]",OR -> XNOR -> NOR,6,9,3,1
127,"OR(XNOR(B, XOR(A, D)), C)","[1, 0, 0, 1]",OR -> XNOR -> XOR,7,10,3,1
128,"OR(XNOR(B, XNOR(A, D)), C)","[1, 1, 1, 0]",OR -> XNOR -> XNOR,7,10,3,1
129,"NOT(AND(B, AND(A, D)))","[0, 0, 1, 1]",NOT -> AND -> AND,5,7.5,3,1
130,"NOT(AND(B, OR(A, D)))","[1, 1, 0, 1]",NOT -> AND -> OR,5,7.5,3,0
131,"NOT(AND(B, NOT(A)))","[1, 1, 0, 1]",NOT -> AND -> NOT,4,6,3,1
132,"NOT(AND(B, BUFFER(A)))","[1, 1, 0, 0]",NOT -> AND -> BUFFER,3.2,5,3,0
133,"NOT(AND(B, NAND(A, D)))","[0, 1, 0, 0]",NOT -> AND -> NAND,4.5,7,3,0
134,"NOT(AND(B, NOR(A, D)))","[0, 1, 1, 0]",NOT -> AND -> NOR,4.5,7,3,0
135,"NOT(AND(B, XOR(A, D)))","[1, 1, 0, 0]",NOT -> AND -> XOR,5.5,8,3,0
136,"NOT(AND(B, XNOR(A, D)))","[1, 1, 0, 0]",NOT -> AND -> XNOR,5.5,8,3,1
137,"NOT(OR(B, AND(A, D)))","[0, 0, 0, 0]",NOT -> OR -> AND,5,7.5,3,1
138,"NOT(OR(B, OR(A, D)))","[1, 0, 1, 0]",NOT -> OR -> OR,5,7.5,3,0
139,"NOT(OR(B, NOT(A)))","[0, 0, 0, 1]",NOT -> OR -> NOT,4,6,3,0
140,"NOT(OR(B, BUFFER(A)))","[0, 0, 1, 0]",NOT -> OR -> BUFFER,3.2,5,3,1
141,"NOT(OR(B, NAND(A, D)))","[0, 1, 0, 0]",NOT -> OR -> NAND,4.5,7,3,0
142,"NOT(OR(B, NOR(A, D)))","[0, 0, 1, 1]",NOT -> OR -> NOR,4.5,7,3,1
143,"NOT(OR(B, XOR(A, D)))","[1, 0, 1, 0]",NOT -> OR -> XOR,5.5,8,3,0
144,"NOT(OR(B, XNOR(A, D)))","[1, 0, 0, 0]",NOT -> OR -> XNOR,5.5,8,3,1
145,"NOT(NOT(AND(A, D)))","[0, 1, 1, 0]",NOT -> NOT -> AND,4,6,3,1
146,"NOT(NOT(OR(A, D)))","[0, 1, 0, 0]",NOT -> NOT -> OR,4,6,3,1
147,NOT(NOT(NOT(A))),"[0, 0, 0, 0]",NOT -> NOT -> NOT,3,4.5,3,0
148,NOT(NOT(BUFFER(A))),"[0, 1, 1, 0]",NOT -> NOT -> BUFFER,2.2,3.5,3,1
149,"NOT(NOT(NAND(A, D)))","[0, 1, 1, 1]",NOT -> NOT -> NAND,3.5,5.5,3,1
150,"NOT(NOT(NOR(A, D)))","[1, 0, 0, 0]",NOT -> NOT -> NOR,3.5,5.5,3,0
151,"NOT(NOT(XOR(A, D)))","[0, 1, 1, 0]",NOT -> NOT -> XOR,4.5,6.5,3,1
152,"NOT(NOT(XNOR(A, D)))","[1, 1, 0, 0]",NOT -> NOT -> XNOR,4.5,6.5,3,1
153,"NOT(BUFFER(AND(A, D)))","[1, 0, 0, 0]",NOT -> BUFFER -> AND,3.2,5,3,1
154,"NOT(BUFFER(OR(A, D)))","[1, 1, 0, 0]",NOT -> BUFFER -> OR,3.2,5,3,0
155,NOT(BUFFER(NOT(A))),"[1, 1, 1, 0]",NOT -> BUFFER -> NOT,2.2,3.5,3,0
156,NOT(BUFFER(BUFFER(A))),"[0, 1, 0, 1]",NOT -> BUFFER -> BUFFER,1.4,2.5,3,0
157,"NOT(BUFFER(NAND(A, D)))","[1, 1, 1, 1]",NOT -> BUFFER -> NAND,2.7,4.5,3,0
158,"NOT(BUFFER(NOR(A, D)))","[0, 1, 0, 1]",NOT -> BUFFER -> NOR,2.7,4.5,3,0
159,"NOT(BUFFER(XOR(A, D)))","[1, 0, 1, 0]",NOT -> BUFFER -> XOR,3.7,5.5,3,1
160,"NOT(BUFFER(XNOR(A, D)))","[1, 0, 1, 0]",NOT -> BUFFER -> XNOR,3.7,5.5,3,1
161,"NOT(NAND(B, AND(A, D)))","[1, 1, 1, 0]",NOT -> NAND -> AND,4.5,7,3,0
162,"NOT(NAND(B, OR(A, D)))","[0, 1, 1, 1]",NOT -> NAND -> OR,4.5,7,3,1
163,"NOT(NAND(B, NOT(A)))","[0, 1, 1, 1]",NOT -> NAND -> NOT,3.5,5.5,3,1
164,"NOT(NAND(B, BUFFER(A)))","[1, 1, 1, 1]",NOT -> NAND -> BUFFER,2.7,4.5,3,1
165,"NOT(NAND(B, NAND(A, D)))","[1, 0, 0, 0]",NOT -> NAND -> NAND,4,6.5,3,0
166,"NOT(NAND(B, NOR(A, D)))","[0, 1, 0, 1]",NOT -> NAND -> NOR,4,6.5,3,0
167,"NOT(NAND(B, XOR(A, D)))","[0, 1, 1, 1]",NOT -> NAND -> XOR,5,7.5,3,1
168,"NOT(NAND(B, XNOR(A, D)))","[0, 0, 1, 1]",NOT -> NAND -> XNOR,5,7.5,3,0
169,"NOT(NOR(B, AND(A, D)))","[1, 1, 0, 1]",NOT -> NOR -> AND,4.5,7,3,1
170,"NOT(NOR(B, OR(A, D)))","[0, 0, 0, 1]",NOT -> NOR -> OR,4.5,7,3,1
171,"NOT(NOR(B, NOT(A)))","[0, 1, 0, 0]",NOT -> NOR -> NOT,3.5,5.5,3,1
172,"NOT(NOR(B, BUFFER(A)))","[1, 1, 1, 1]",NOT -> NOR -> BUFFER,2.7,4.5,3,1
173,"NOT(NOR(B, NAND(A, D)))","[0, 0, 0, 0]",NOT -> NOR -> NAND,4,6.5,3,1
174,"NOT(NOR(B, NOR(A, D)))","[1, 0, 1, 1]",NOT -> NOR -> NOR,4,6.5,3,0
175,"NOT(NOR(B, XOR(A, D)))","[0, 1, 1, 0]",NOT -> NOR -> XOR,5,7.5,3,1
176,"NOT(NOR(B, XNOR(A, D)))","[0, 1, 1, 0]",NOT -> NOR -> XNOR,5,7.5,3,1
177,"NOT(XOR(B, AND(A, D)))","[1, 0, 1, 0]",NOT -> XOR -> AND,5.5,8,3,1
178,"NOT(XOR(B, OR(A, D)))","[0, 0, 1, 0]",NOT -> XOR -> OR,5.5,8,3,1
179,"NOT(XOR(B, NOT(A)))","[0, 0, 0, 0]",NOT -> XOR -> NOT,4.5,6.5,3,0
180,"NOT(XOR(B, BUFFER(A)))","[1, 0, 0, 0]",NOT -> XOR -> BUFFER,3.7,5.5,3,0
181,"NOT(XOR(B, NAND(A, D)))","[1, 0, 1, 0]",NOT -> XOR -> NAND,5,7.5,3,0
182,"NOT(XOR(B, NOR(A, D)))","[0, 0, 1, 0]",NOT -> XOR -> NOR,5,7.5,3,0
183,"NOT(XOR(B, XOR(A, D)))","[1, 1, 0, 0]",NOT -> XOR -> XOR,6,8.5,3,1
184,"NOT(XOR(B, XNOR(A, D)))","[0, 1, 1, 0]",NOT -> XOR -> XNOR,6,8.5,3,1
185,"NOT(XNOR(B, AND(A, D)))","[0, 0, 0, 0]",NOT -> XNOR -> AND,5.5,8,3,0
186,"NOT(XNOR(B, OR(A, D)))","[0, 1, 1, 0]",NOT -> XNOR -> OR,5.5,8,3,1
187,"NOT(XNOR(B, NOT(A)))","[1, 1, 1, 1]",NOT -> XNOR -> NOT,4.5,6.5,3,1
188,"NOT(XNOR(B, BUFFER(A)))","[1, 1, 1, 0]",NOT -> XNOR -> BUFFER,3.7,5.5,3,0
189,"NOT(XNOR(B, NAND(A, D)))","[1, 1, 0, 0]",NOT -> XNOR -> NAND,5,7.5,3,0
190,"NOT(XNOR(B, NOR(A, D)))","[0, 0, 0, 0]",NOT -> XNOR -> NOR,5,7.5,3,1
191,"NOT(XNOR(B, XOR(A, D)))","[0, 1, 1, 1]",NOT -> XNOR -> XOR,6,8.5,3,0
192,"NOT(XNOR(B, XNOR(A, D)))","[1, 0, 0, 1]",NOT -> XNOR -> XNOR,6,8.5,3,1
193,"BUFFER(AND(B, AND(A, D)))","[0, 1, 1, 0]",BUFFER -> AND -> AND,4.2,6.5,3,0
194,"BUFFER(AND(B, OR(A, D)))","[0, 1, 0, 1]",BUFFER -> AND -> OR,4.2,6.5,3,1
195,"BUFFER(AND(B, NOT(A)))","[0, 0, 0, 1]",BUFFER -> AND -> NOT,3.2,5,3,0
196,"BUFFER(AND(B, BUFFER(A)))","[0, 0, 0, 1]",BUFFER -> AND -> BUFFER,2.4,4,3,0
197,"BUFFER(AND(B, NAND(A, D)))","[1, 0, 1, 0]",BUFFER -> AND -> NAND,3.7,6,3,0
198,"BUFFER(AND(B, NOR(A, D)))","[0, 1, 0, 1]",BUFFER -> AND -> NOR,3.7,6,3,0
199,"BUFFER(AND(B, XOR(A, D)))","[0, 0, 1, 1]",BUFFER -> AND -> XOR,4.7,7,3,0
200,"BUFFER(AND(B, XNOR(A, D)))","[0, 1, 1, 0]",BUFFER -> AND -> XNOR,4.7,7,3,1
201,"BUFFER(OR(B, AND(A, D)))","[0, 0, 0, 0]",BUFFER -> OR -> AND,4.2,6.5,3,0
202,"BUFFER(OR(B, OR(A, D)))","[0, 0, 1, 1]",BUFFER -> OR -> OR,4.2,6.5,3,1
203,"BUFFER(OR(B, NOT(A)))","[1, 1, 0, 1]",BUFFER -> OR -> NOT,3.2,5,3,1
204,"BUFFER(OR(B, BUFFER(A)))","[0, 0, 0, 1]",BUFFER -> OR -> BUFFER,2.4,4,3,0
205,"BUFFER(OR(B, NAND(A, D)))","[0, 1, 1, 1]",BUFFER -> OR -> NAND,3.7,6,3,1
206,"BUFFER(OR(B, NOR(A, D)))","[0, 0, 1, 1]",BUFFER -> OR -> NOR,3.7,6,3,0
207,"BUFFER(OR(B, XOR(A, D)))","[0, 1, 1, 1]",BUFFER -> OR -> XOR,4.7,7,3,1
208,"BUFFER(OR(B, XNOR(A, D)))","[0, 0, 0, 1]",BUFFER -> OR -> XNOR,4.7,7,3,0
209,"BUFFER(NOT(AND(A, D)))","[0, 0, 1, 1]",BUFFER -> NOT -> AND,3.2,5,3,1
210,"BUFFER(NOT(OR(A, D)))","[0, 0, 0, 0]",BUFFER -> NOT -> OR,3.2,5,3,1
211,BUFFER(NOT(NOT(A))),"[1, 0, 1, 1]",BUFFER -> NOT -> NOT,2.2,3.5,3,1
212,BUFFER(NOT(BUFFER(A))),"[0, 1, 0, 0]",BUFFER -> NOT -> BUFFER,1.4,2.5,3,0
213,"BUFFER(NOT(NAND(A, D)))","[1, 1, 0, 0]",BUFFER -> NOT -> NAND,2.7,4.5,3,0
214,"BUFFER(NOT(NOR(A, D)))","[0, 0, 0, 0]",BUFFER -> NOT -> NOR,2.7,4.5,3,1
215,"BUFFER(NOT(XOR(A, D)))","[1, 1, 0, 1]",BUFFER -> NOT -> XOR,3.7,5.5,3,0
216,"BUFFER(NOT(XNOR(A, D)))","[0, 1, 0, 1]",BUFFER -> NOT -> XNOR,3.7,5.5,3,0
217,"BUFFER(BUFFER(AND(A, D)))","[1, 1, 0, 1]",BUFFER -> BUFFER -> AND,2.4,4,3,1
218,"BUFFER(BUFFER(OR(A, D)))","[0, 1, 0, 1]",BUFFER -> BUFFER -> OR,2.4,4,3,1
219,BUFFER(BUFFER(NOT(A))),"[0, 0, 0, 1]",BUFFER -> BUFFER -> NOT,1.4,2.5,3,0
220,BUFFER(BUFFER(BUFFER(A))),"[0, 0, 0, 1]",BUFFER -> BUFFER -> BUFFER,0.6,1.5,3,0
221,"BUFFER(BUFFER(NAND(A, D)))","[0, 1, 0, 0]",BUFFER -> BUFFER -> NAND,1.9,3.5,3,1
222,"BUFFER(BUFFER(NOR(A, D)))","[1, 0, 0, 1]",BUFFER -> BUFFER -> NOR,1.9,3.5,3,0
223,"BUFFER(BUFFER(XOR(A, D)))","[1, 0, 1, 0]",BUFFER -> BUFFER -> XOR,2.9,4.5,3,0
224,"BUFFER(BUFFER(XNOR(A, D)))","[1, 1, 1, 1]",BUFFER -> BUFFER -> XNOR,2.9,4.5,3,1
225,"BUFFER(NAND(B, AND(A, D)))","[0, 1, 1, 0]",BUFFER -> NAND -> AND,3.7,6,3,1
226,"BUFFER(NAND(B, OR(A, D)))","[0, 1, 1, 1]",BUFFER -> NAND -> OR,3.7,6,3,0
227,"BUFFER(NAND(B, NOT(A)))","[0, 1, 1, 1]",BUFFER -> NAND -> NOT,2.7,4.5,3,0
228,"BUFFER(NAND(B, BUFFER(A)))","[0, 0, 1, 0]",BUFFER -> NAND -> BUFFER,1.9,3.5,3,1
229,"BUFFER(NAND(B, NAND(A, D)))","[0, 1, 1, 1]",BUFFER -> NAND -> NAND,3.2,5.5,3,0
230,"BUFFER(NAND(B, NOR(A, D)))","[1, 0, 1, 1]",BUFFER -> NAND -> NOR,3.2,5.5,3,1
