ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
36,"AND(D, NAND(BUFFER(A), C))","[1, 1, 0, 1]",AND -> NAND -> BUFFER,3.7,6,3,0
37,"AND(D, NAND(NAND(A, B), C))","[1, 0, 1, 0]",AND -> NAND -> NAND,5,8,3,1
38,"AND(D, NAND(NOR(A, B), C))","[0, 1, 1, 1]",AND -> NAND -> NOR,5,8,3,1
39,"AND(D, NAND(XOR(A, B), C))","[0, 1, 0, 0]",AND -> NAND -> XOR,6,9,3,0
40,"AND(D, NAND(XNOR(A, B), C))","[1, 0, 1, 0]",AND -> NAND -> XNOR,6,9,3,1
41,"AND(D, NOR(AND(A, B), C))","[0, 1, 1, 1]",AND -> NOR -> AND,5.5,8.5,3,0
42,"AND(D, NOR(OR(A, B), C))","[0, 1, 0, 0]",AND -> NOR -> OR,5.5,8.5,3,0
43,"AND(D, NOR(NOT(A), C))","[1, 1, 1, 1]",AND -> NOR -> NOT,4.5,7,3,0
44,"AND(D, NOR(BUFFER(A), C))","[1, 0, 1, 0]",AND -> NOR -> BUFFER,3.7,6,3,0
45,"AND(D, NOR(NAND(A, B), C))","[0, 0, 0, 1]",AND -> NOR -> NAND,5,8,3,0
46,"AND(D, NOR(NOR(A, B), C))","[1, 1, 1, 1]",AND -> NOR -> NOR,5,8,3,0
47,"AND(D, NOR(XOR(A, B), C))","[1, 1, 1, 1]",AND -> NOR -> XOR,6,9,3,0
48,"AND(D, NOR(XNOR(A, B), C))","[1, 1, 1, 0]",AND -> NOR -> XNOR,6,9,3,0
49,"AND(D, XOR(AND(A, B), C))","[0, 0, 0, 1]",AND -> XOR -> AND,6.5,9.5,3,0
50,"AND(D, XOR(OR(A, B), C))","[1, 1, 0, 0]",AND -> XOR -> OR,6.5,9.5,3,0
51,"AND(D, XOR(NOT(A), C))","[0, 1, 0, 1]",AND -> XOR -> NOT,5.5,8,3,0
52,"AND(D, XOR(BUFFER(A), C))","[0, 0, 1, 1]",AND -> XOR -> BUFFER,4.7,7,3,0
53,"AND(D, XOR(NAND(A, B), C))","[1, 0, 0, 0]",AND -> XOR -> NAND,6,9,3,0
54,"AND(D, XOR(NOR(A, B), C))","[1, 1, 1, 1]",AND -> XOR -> NOR,6,9,3,1
55,"AND(D, XOR(XOR(A, B), C))","[1, 1, 1, 1]",AND -> XOR -> XOR,7,10,3,1
56,"AND(D, XOR(XNOR(A, B), C))","[1, 1, 1, 1]",AND -> XOR -> XNOR,7,10,3,0
57,"AND(D, XNOR(AND(A, B), C))","[1, 0, 1, 1]",AND -> XNOR -> AND,6.5,9.5,3,0
58,"AND(D, XNOR(OR(A, B), C))","[1, 1, 1, 1]",AND -> XNOR -> OR,6.5,9.5,3,1
59,"AND(D, XNOR(NOT(A), C))","[1, 1, 1, 0]",AND -> XNOR -> NOT,5.5,8,3,0
60,"AND(D, XNOR(BUFFER(A), C))","[0, 1, 0, 1]",AND -> XNOR -> BUFFER,4.7,7,3,0
61,"AND(D, XNOR(NAND(A, B), C))","[1, 1, 0, 0]",AND -> XNOR -> NAND,6,9,3,0
62,"AND(D, XNOR(NOR(A, B), C))","[0, 0, 0, 1]",AND -> XNOR -> NOR,6,9,3,0
63,"AND(D, XNOR(XOR(A, B), C))","[1, 1, 0, 0]",AND -> XNOR -> XOR,7,10,3,0
64,"AND(D, XNOR(XNOR(A, B), C))","[1, 0, 0, 1]",AND -> XNOR -> XNOR,7,10,3,0
65,"OR(D, AND(AND(A, B), C))","[0, 0, 1, 1]",OR -> AND -> AND,6,9,3,1
66,"OR(D, AND(OR(A, B), C))","[1, 1, 0, 0]",OR -> AND -> OR,6,9,3,1
67,"OR(D, AND(NOT(A), C))","[0, 1, 0, 0]",OR -> AND -> NOT,5,7.5,3,1
68,"OR(D, AND(BUFFER(A), C))","[0, 1, 1, 1]",OR -> AND -> BUFFER,4.2,6.5,3,1
69,"OR(D, AND(NAND(A, B), C))","[1, 1, 0, 1]",OR -> AND -> NAND,5.5,8.5,3,0
70,"OR(D, AND(NOR(A, B), C))","[0, 1, 0, 1]",OR -> AND -> NOR,5.5,8.5,3,0
71,"OR(D, AND(XOR(A, B), C))","[1, 0, 0, 0]",OR -> AND -> XOR,6.5,9.5,3,0
72,"OR(D, AND(XNOR(A, B), C))","[1, 1, 0, 1]",OR -> AND -> XNOR,6.5,9.5,3,1
73,"OR(D, OR(AND(A, B), C))","[0, 0, 0, 1]",OR -> OR -> AND,6,9,3,0
74,"OR(D, OR(OR(A, B), C))","[0, 0, 0, 0]",OR -> OR -> OR,6,9,3,0
75,"OR(D, OR(NOT(A), C))","[0, 1, 1, 1]",OR -> OR -> NOT,5,7.5,3,1
76,"OR(D, OR(BUFFER(A), C))","[0, 0, 0, 1]",OR -> OR -> BUFFER,4.2,6.5,3,0
77,"OR(D, OR(NAND(A, B), C))","[0, 0, 1, 1]",OR -> OR -> NAND,5.5,8.5,3,1
78,"OR(D, OR(NOR(A, B), C))","[0, 0, 1, 0]",OR -> OR -> NOR,5.5,8.5,3,1
79,"OR(D, OR(XOR(A, B), C))","[0, 0, 1, 0]",OR -> OR -> XOR,6.5,9.5,3,1
80,"OR(D, OR(XNOR(A, B), C))","[0, 0, 0, 1]",OR -> OR -> XNOR,6.5,9.5,3,0
81,"OR(D, NOT(AND(A, B)))","[1, 0, 0, 0]",OR -> NOT -> AND,5,7.5,3,1
82,"OR(D, NOT(OR(A, B)))","[1, 0, 1, 1]",OR -> NOT -> OR,5,7.5,3,1
83,"OR(D, NOT(NOT(A)))","[0, 0, 0, 0]",OR -> NOT -> NOT,4,6,3,1
84,"OR(D, NOT(BUFFER(A)))","[0, 1, 0, 0]",OR -> NOT -> BUFFER,3.2,5,3,0
85,"OR(D, NOT(NAND(A, B)))","[1, 0, 0, 1]",OR -> NOT -> NAND,4.5,7,3,1
86,"OR(D, NOT(NOR(A, B)))","[1, 0, 1, 1]",OR -> NOT -> NOR,4.5,7,3,1
87,"OR(D, NOT(XOR(A, B)))","[1, 1, 1, 1]",OR -> NOT -> XOR,5.5,8,3,1
88,"OR(D, NOT(XNOR(A, B)))","[1, 0, 0, 1]",OR -> NOT -> XNOR,5.5,8,3,1
89,"OR(D, BUFFER(AND(A, B)))","[1, 1, 0, 1]",OR -> BUFFER -> AND,4.2,6.5,3,1
90,"OR(D, BUFFER(OR(A, B)))","[1, 0, 1, 0]",OR -> BUFFER -> OR,4.2,6.5,3,1
91,"OR(D, BUFFER(NOT(A)))","[1, 1, 1, 1]",OR -> BUFFER -> NOT,3.2,5,3,1
92,"OR(D, BUFFER(BUFFER(A)))","[1, 0, 0, 0]",OR -> BUFFER -> BUFFER,2.4,4,3,0
93,"OR(D, BUFFER(NAND(A, B)))","[0, 1, 0, 1]",OR -> BUFFER -> NAND,3.7,6,3,1
94,"OR(D, BUFFER(NOR(A, B)))","[1, 1, 0, 1]",OR -> BUFFER -> NOR,3.7,6,3,1
95,"OR(D, BUFFER(XOR(A, B)))","[0, 0, 1, 0]",OR -> BUFFER -> XOR,4.7,7,3,1
96,"OR(D, BUFFER(XNOR(A, B)))","[0, 1, 0, 1]",OR -> BUFFER -> XNOR,4.7,7,3,1
97,"OR(D, NAND(AND(A, B), C))","[0, 1, 1, 0]",OR -> NAND -> AND,5.5,8.5,3,1
98,"OR(D, NAND(OR(A, B), C))","[0, 0, 1, 0]",OR -> NAND -> OR,5.5,8.5,3,1
99,"OR(D, NAND(NOT(A), C))","[1, 0, 1, 1]",OR -> NAND -> NOT,4.5,7,3,1
100,"OR(D, NAND(BUFFER(A), C))","[0, 0, 1, 1]",OR -> NAND -> BUFFER,3.7,6,3,1
101,"OR(D, NAND(NAND(A, B), C))","[1, 0, 0, 1]",OR -> NAND -> NAND,5,8,3,1
102,"OR(D, NAND(NOR(A, B), C))","[1, 1, 0, 1]",OR -> NAND -> NOR,5,8,3,1
103,"OR(D, NAND(XOR(A, B), C))","[1, 1, 0, 1]",OR -> NAND -> XOR,6,9,3,1
104,"OR(D, NAND(XNOR(A, B), C))","[0, 0, 1, 1]",OR -> NAND -> XNOR,6,9,3,1
105,"OR(D, NOR(AND(A, B), C))","[1, 0, 1, 1]",OR -> NOR -> AND,5.5,8.5,3,1
106,"OR(D, NOR(OR(A, B), C))","[0, 0, 1, 0]",OR -> NOR -> OR,5.5,8.5,3,1
107,"OR(D, NOR(NOT(A), C))","[0, 0, 0, 1]",OR -> NOR -> NOT,4.5,7,3,0
108,"OR(D, NOR(BUFFER(A), C))","[1, 1, 0, 0]",OR -> NOR -> BUFFER,3.7,6,3,0
109,"OR(D, NOR(NAND(A, B), C))","[1, 1, 1, 1]",OR -> NOR -> NAND,5,8,3,1
110,"OR(D, NOR(NOR(A, B), C))","[0, 1, 1, 0]",OR -> NOR -> NOR,5,8,3,1
111,"OR(D, NOR(XOR(A, B), C))","[1, 1, 0, 1]",OR -> NOR -> XOR,6,9,3,0
112,"OR(D, NOR(XNOR(A, B), C))","[1, 1, 1, 1]",OR -> NOR -> XNOR,6,9,3,1
113,"OR(D, XOR(AND(A, B), C))","[1, 1, 1, 1]",OR -> XOR -> AND,6.5,9.5,3,1
114,"OR(D, XOR(OR(A, B), C))","[1, 0, 1, 0]",OR -> XOR -> OR,6.5,9.5,3,1
115,"OR(D, XOR(NOT(A), C))","[0, 1, 0, 1]",OR -> XOR -> NOT,5.5,8,3,0
116,"OR(D, XOR(BUFFER(A), C))","[1, 0, 1, 0]",OR -> XOR -> BUFFER,4.7,7,3,1
117,"OR(D, XOR(NAND(A, B), C))","[1, 1, 1, 1]",OR -> XOR -> NAND,6,9,3,1
118,"OR(D, XOR(NOR(A, B), C))","[1, 1, 0, 1]",OR -> XOR -> NOR,6,9,3,1
119,"OR(D, XOR(XOR(A, B), C))","[0, 1, 0, 1]",OR -> XOR -> XOR,7,10,3,0
120,"OR(D, XOR(XNOR(A, B), C))","[1, 0, 1, 1]",OR -> XOR -> XNOR,7,10,3,1
121,"OR(D, XNOR(AND(A, B), C))","[1, 1, 0, 0]",OR -> XNOR -> AND,6.5,9.5,3,0
122,"OR(D, XNOR(OR(A, B), C))","[0, 1, 0, 1]",OR -> XNOR -> OR,6.5,9.5,3,1
123,"OR(D, XNOR(NOT(A), C))","[0, 0, 1, 0]",OR -> XNOR -> NOT,5.5,8,3,1
124,"OR(D, XNOR(BUFFER(A), C))","[0, 1, 1, 1]",OR -> XNOR -> BUFFER,4.7,7,3,1
125,"OR(D, XNOR(NAND(A, B), C))","[0, 0, 0, 1]",OR -> XNOR -> NAND,6,9,3,0
126,"OR(D, XNOR(NOR(A, B), C))","[1, 1, 1, 1]",OR -> XNOR -> NOR,6,9,3,1
127,"OR(D, XNOR(XOR(A, B), C))","[1, 0, 0, 1]",OR -> XNOR -> XOR,7,10,3,1
128,"OR(D, XNOR(XNOR(A, B), C))","[1, 1, 1, 0]",OR -> XNOR -> XNOR,7,10,3,1
129,"NOT(AND(AND(A, B), C))","[0, 0, 1, 1]",NOT -> AND -> AND,5,7.5,3,1
130,"NOT(AND(OR(A, B), C))","[1, 1, 0, 1]",NOT -> AND -> OR,5,7.5,3,0
131,"NOT(AND(NOT(A), C))","[1, 1, 0, 1]",NOT -> AND -> NOT,4,6,3,1
132,"NOT(AND(BUFFER(A), C))","[1, 1, 0, 0]",NOT -> AND -> BUFFER,3.2,5,3,0
133,"NOT(AND(NAND(A, B), C))","[0, 1, 0, 0]",NOT -> AND -> NAND,4.5,7,3,0
134,"NOT(AND(NOR(A, B), C))","[0, 1, 1, 0]",NOT -> AND -> NOR,4.5,7,3,0
135,"NOT(AND(XOR(A, B), C))","[1, 1, 0, 0]",NOT -> AND -> XOR,5.5,8,3,0
136,"NOT(AND(XNOR(A, B), C))","[1, 1, 0, 0]",NOT -> AND -> XNOR,5.5,8,3,1
137,"NOT(OR(AND(A, B), C))","[0, 0, 0, 0]",NOT -> OR -> AND,5,7.5,3,1
138,"NOT(OR(OR(A, B), C))","[1, 0, 1, 0]",NOT -> OR -> OR,5,7.5,3,0
139,"NOT(OR(NOT(A), C))","[0, 0, 0, 1]",NOT -> OR -> NOT,4,6,3,0
140,"NOT(OR(BUFFER(A), C))","[0, 0, 1, 0]",NOT -> OR -> BUFFER,3.2,5,3,1
141,"NOT(OR(NAND(A, B), C))","[0, 1, 0, 0]",NOT -> OR -> NAND,4.5,7,3,0
142,"NOT(OR(NOR(A, B), C))","[0, 0, 1, 1]",NOT -> OR -> NOR,4.5,7,3,1
143,"NOT(OR(XOR(A, B), C))","[1, 0, 1, 0]",NOT -> OR -> XOR,5.5,8,3,0
144,"NOT(OR(XNOR(A, B), C))","[1, 0, 0, 0]",NOT -> OR -> XNOR,5.5,8,3,1
145,"NOT(NOT(AND(A, B)))","[0, 1, 1, 0]",NOT -> NOT -> AND,4,6,3,1
146,"NOT(NOT(OR(A, B)))","[0, 1, 0, 0]",NOT -> NOT -> OR,4,6,3,1
147,NOT(NOT(NOT(A))),"[0, 0, 0, 0]",NOT -> NOT -> NOT,3,4.5,3,0
148,NOT(NOT(BUFFER(A))),"[0, 1, 1, 0]",NOT -> NOT -> BUFFER,2.2,3.5,3,1
149,"NOT(NOT(NAND(A, B)))","[0, 1, 1, 1]",NOT -> NOT -> NAND,3.5,5.5,3,1
150,"NOT(NOT(NOR(A, B)))","[1, 0, 0, 0]",NOT -> NOT -> NOR,3.5,5.5,3,0
151,"NOT(NOT(XOR(A, B)))","[0, 1, 1, 0]",NOT -> NOT -> XOR,4.5,6.5,3,1
152,"NOT(NOT(XNOR(A, B)))","[1, 1, 0, 0]",NOT -> NOT -> XNOR,4.5,6.5,3,1
153,"NOT(BUFFER(AND(A, B)))","[1, 0, 0, 0]",NOT -> BUFFER -> AND,3.2,5,3,1
154,"NOT(BUFFER(OR(A, B)))","[1, 1, 0, 0]",NOT -> BUFFER -> OR,3.2,5,3,0
155,NOT(BUFFER(NOT(A))),"[1, 1, 1, 0]",NOT -> BUFFER -> NOT,2.2,3.5,3,0
156,NOT(BUFFER(BUFFER(A))),"[0, 1, 0, 1]",NOT -> BUFFER -> BUFFER,1.4,2.5,3,0
157,"NOT(BUFFER(NAND(A, B)))","[1, 1, 1, 1]",NOT -> BUFFER -> NAND,2.7,4.5,3,0
158,"NOT(BUFFER(NOR(A, B)))","[0, 1, 0, 1]",NOT -> BUFFER -> NOR,2.7,4.5,3,0
159,"NOT(BUFFER(XOR(A, B)))","[1, 0, 1, 0]",NOT -> BUFFER -> XOR,3.7,5.5,3,1
160,"NOT(BUFFER(XNOR(A, B)))","[1, 0, 1, 0]",NOT -> BUFFER -> XNOR,3.7,5.5,3,1
161,"NOT(NAND(AND(A, B), C))","[1, 1, 1, 0]",NOT -> NAND -> AND,4.5,7,3,0
162,"NOT(NAND(OR(A, B), C))","[0, 1, 1, 1]",NOT -> NAND -> OR,4.5,7,3,1
163,"NOT(NAND(NOT(A), C))","[0, 1, 1, 1]",NOT -> NAND -> NOT,3.5,5.5,3,1
164,"NOT(NAND(BUFFER(A), C))","[1, 1, 1, 1]",NOT -> NAND -> BUFFER,2.7,4.5,3,1
165,"NOT(NAND(NAND(A, B), C))","[1, 0, 0, 0]",NOT -> NAND -> NAND,4,6.5,3,0
166,"NOT(NAND(NOR(A, B), C))","[0, 1, 0, 1]",NOT -> NAND -> NOR,4,6.5,3,0
167,"NOT(NAND(XOR(A, B), C))","[0, 1, 1, 1]",NOT -> NAND -> XOR,5,7.5,3,1
168,"NOT(NAND(XNOR(A, B), C))","[0, 0, 1, 1]",NOT -> NAND -> XNOR,5,7.5,3,0
169,"NOT(NOR(AND(A, B), C))","[1, 1, 0, 1]",NOT -> NOR -> AND,4.5,7,3,1
170,"NOT(NOR(OR(A, B), C))","[0, 0, 0, 1]",NOT -> NOR -> OR,4.5,7,3,1
171,"NOT(NOR(NOT(A), C))","[0, 1, 0, 0]",NOT -> NOR -> NOT,3.5,5.5,3,1
172,"NOT(NOR(BUFFER(A), C))","[1, 1, 1, 1]",NOT -> NOR -> BUFFER,2.7,4.5,3,1
173,"NOT(NOR(NAND(A, B), C))","[0, 0, 0, 0]",NOT -> NOR -> NAND,4,6.5,3,1
174,"NOT(NOR(NOR(A, B), C))","[1, 0, 1, 1]",NOT -> NOR -> NOR,4,6.5,3,0
175,"NOT(NOR(XOR(A, B), C))","[0, 1, 1, 0]",NOT -> NOR -> XOR,5,7.5,3,1
176,"NOT(NOR(XNOR(A, B), C))","[0, 1, 1, 0]",NOT -> NOR -> XNOR,5,7.5,3,1
177,"NOT(XOR(AND(A, B), C))","[1, 0, 1, 0]",NOT -> XOR -> AND,5.5,8,3,1
178,"NOT(XOR(OR(A, B), C))","[0, 0, 1, 0]",NOT -> XOR -> OR,5.5,8,3,1
179,"NOT(XOR(NOT(A), C))","[0, 0, 0, 0]",NOT -> XOR -> NOT,4.5,6.5,3,0
180,"NOT(XOR(BUFFER(A), C))","[1, 0, 0, 0]",NOT -> XOR -> BUFFER,3.7,5.5,3,0
181,"NOT(XOR(NAND(A, B), C))","[1, 0, 1, 0]",NOT -> XOR -> NAND,5,7.5,3,0
182,"NOT(XOR(NOR(A, B), C))","[0, 0, 1, 0]",NOT -> XOR -> NOR,5,7.5,3,0
183,"NOT(XOR(XOR(A, B), C))","[1, 1, 0, 0]",NOT -> XOR -> XOR,6,8.5,3,1
184,"NOT(XOR(XNOR(A, B), C))","[0, 1, 1, 0]",NOT -> XOR -> XNOR,6,8.5,3,1
185,"NOT(XNOR(AND(A, B), C))","[0, 0, 0, 0]",NOT -> XNOR -> AND,5.5,8,3,0
186,"NOT(XNOR(OR(A, B), C))","[0, 1, 1, 0]",NOT -> XNOR -> OR,5.5,8,3,1
187,"NOT(XNOR(NOT(A), C))","[1, 1, 1, 1]",NOT -> XNOR -> NOT,4.5,6.5,3,1
188,"NOT(XNOR(BUFFER(A), C))","[1, 1, 1, 0]",NOT -> XNOR -> BUFFER,3.7,5.5,3,0
189,"NOT(XNOR(NAND(A, B), C))","[1, 1, 0, 0]",NOT -> XNOR -> NAND,5,7.5,3,0
190,"NOT(XNOR(NOR(A, B), C))","[0, 0, 0, 0]",NOT -> XNOR -> NOR,5,7.5,3,1
191,"NOT(XNOR(XOR(A, B), C))","[0, 1, 1, 1]",NOT -> XNOR -> XOR,6,8.5,3,0
192,"NOT(XNOR(XNOR(A, B), C))","[1, 0, 0, 1]",NOT -> XNOR -> XNOR,6,8.5,3,1
193,"BUFFER(AND(AND(A, B), C))","[0, 1, 1, 0]",BUFFER -> AND -> AND,4.2,6.5,3,0
194,"BUFFER(AND(OR(A, B), C))","[0, 1, 0, 1]",BUFFER -> AND -> OR,4.2,6.5,3,1
195,"BUFFER(AND(NOT(A), C))","[0, 0, 0, 1]",BUFFER -> AND -> NOT,3.2,5,3,0
196,"BUFFER(AND(BUFFER(A), C))","[0, 0, 0, 1]",BUFFER -> AND -> BUFFER,2.4,4,3,0
197,"BUFFER(AND(NAND(A, B), C))","[1, 0, 1, 0]",BUFFER -> AND -> NAND,3.7,6,3,0
198,"BUFFER(AND(NOR(A, B), C))","[0, 1, 0, 1]",BUFFER -> AND -> NOR,3.7,6,3,0
199,"BUFFER(AND(XOR(A, B), C))","[0, 0, 1, 1]",BUFFER -> AND -> XOR,4.7,7,3,0
200,"BUFFER(AND(XNOR(A, B), C))","[0, 1, 1, 0]",BUFFER -> AND -> XNOR,4.7,7,3,1
201,"BUFFER(OR(AND(A, B), C))","[0, 0, 0, 0]",BUFFER -> OR -> AND,4.2,6.5,3,0
202,"BUFFER(OR(OR(A, B), C))","[0, 0, 1, 1]",BUFFER -> OR -> OR,4.2,6.5,3,1
203,"BUFFER(OR(NOT(A), C))","[1, 1, 0, 1]",BUFFER -> OR -> NOT,3.2,5,3,1
204,"BUFFER(OR(BUFFER(A), C))","[0, 0, 0, 1]",BUFFER -> OR -> BUFFER,2.4,4,3,0
205,"BUFFER(OR(NAND(A, B), C))","[0, 1, 1, 1]",BUFFER -> OR -> NAND,3.7,6,3,1
206,"BUFFER(OR(NOR(A, B), C))","[0, 0, 1, 1]",BUFFER -> OR -> NOR,3.7,6,3,0
207,"BUFFER(OR(XOR(A, B), C))","[0, 1, 1, 1]",BUFFER -> OR -> XOR,4.7,7,3,1
208,"BUFFER(OR(XNOR(A, B), C))","[0, 0, 0, 1]",BUFFER -> OR -> XNOR,4.7,7,3,0
209,"BUFFER(NOT(AND(A, B)))","[0, 0, 1, 1]",BUFFER -> NOT -> AND,3.2,5,3,1
210,"BUFFER(NOT(OR(A, B)))","[0, 0, 0, 0]",BUFFER -> NOT -> OR,3.2,5,3,1
211,BUFFER(NOT(NOT(A))),"[1, 0, 1, 1]",BUFFER -> NOT -> NOT,2.2,3.5,3,1
212,BUFFER(NOT(BUFFER(A))),"[0, 1, 0, 0]",BUFFER -> NOT -> BUFFER,1.4,2.5,3,0
213,"BUFFER(NOT(NAND(A, B)))","[1, 1, 0, 0]",BUFFER -> NOT -> NAND,2.7,4.5,3,0
214,"BUFFER(NOT(NOR(A, B)))","[0, 0, 0, 0]",BUFFER -> NOT -> NOR,2.7,4.5,3,1
215,"BUFFER(NOT(XOR(A, B)))","[1, 1, 0, 1]",BUFFER -> NOT -> XOR,3.7,5.5,3,0
216,"BUFFER(NOT(XNOR(A, B)))","[0, 1, 0, 1]",BUFFER -> NOT -> XNOR,3.7,5.5,3,0
217,"BUFFER(BUFFER(AND(A, B)))","[1, 1, 0, 1]",BUFFER -> BUFFER -> AND,2.4,4,3,1
218,"BUFFER(BUFFER(OR(A, B)))","[0, 1, 0, 1]",BUFFER -> BUFFER -> OR,2.4,4,3,1
219,BUFFER(BUFFER(NOT(A))),"[0, 0, 0, 1]",BUFFER -> BUFFER -> NOT,1.4,2.5,3,0
220,BUFFER(BUFFER(BUFFER(A))),"[0, 0, 0, 1]",BUFFER -> BUFFER -> BUFFER,0.6,1.5,3,0
221,"BUFFER(BUFFER(NAND(A, B)))","[0, 1, 0, 0]",BUFFER -> BUFFER -> NAND,1.9,3.5,3,1
222,"BUFFER(BUFFER(NOR(A, B)))","[1, 0, 0, 1]",BUFFER -> BUFFER -> NOR,1.9,3.5,3,0
223,"BUFFER(BUFFER(XOR(A, B)))","[1, 0, 1, 0]",BUFFER -> BUFFER -> XOR,2.9,4.5,3,0
224,"BUFFER(BUFFER(XNOR(A, B)))","[1, 1, 1, 1]",BUFFER -> BUFFER -> XNOR,2.9,4.5,3,1
225,"BUFFER(NAND(AND(A, B), C))","[0, 1, 1, 0]",BUFFER -> NAND -> AND,3.7,6,3,1
226,"BUFFER(NAND(OR(A, B), C))","[0, 1, 1, 1]",BUFFER -> NAND -> OR,3.7,6,3,0
227,"BUFFER(NAND(NOT(A), C))","[0, 1, 1, 1]",BUFFER -> NAND -> NOT,2.7,4.5,3,0
228,"BUFFER(NAND(BUFFER(A), C))","[0, 0, 1, 0]",BUFFER -> NAND -> BUFFER,1.9,3.5,3,1
229,"BUFFER(NAND(NAND(A, B), C))","[0, 1, 1, 1]",BUFFER -> NAND -> NAND,3.2,5.5,3,0
230,"BUFFER(NAND(NOR(A, B), C))","[1, 0, 1, 1]",BUFFER -> NAND -> NOR,3.2,5.5,3,1
231,"BUFFER(NAND(XOR(A, B), C))","[1, 1, 0, 1]",BUFFER -> NAND -> XOR,4.2,6.5,3,1
232,"BUFFER(NAND(XNOR(A, B), C))","[0, 0, 0, 1]",BUFFER -> NAND -> XNOR,4.2,6.5,3,1
